motif	human_ensembl_gene_id	mouse_ensembl_gene_id	mouse_gene_name
Cab39l	ENSG00000102547	ENSMUSG00000021981	Cab39l
Cables1	ENSG00000134508	ENSMUSG00000040957	Cables1
Cacfd1	ENSG00000160325	ENSMUSG00000015488	Cacfd1
Cachd1	ENSG00000158966	ENSMUSG00000028532	Cachd1
Cacna1a	ENSG00000141837	ENSMUSG00000034656	Cacna1a
Cacna1c	ENSG00000151067	ENSMUSG00000051331	Cacna1c
Cacna1d	ENSG00000157388	ENSMUSG00000015968	Cacna1d
Cacna1e	ENSG00000198216	ENSMUSG00000004110	Cacna1e
Cacna1g	ENSG00000006283	ENSMUSG00000020866	Cacna1g
Cacna2d1	ENSG00000153956	ENSMUSG00000040118	Cacna2d1
Cacna2d3	ENSG00000157445	ENSMUSG00000021991	Cacna2d3
Cacnb2	ENSG00000165995	ENSMUSG00000057914	Cacnb2
Cacnb4	ENSG00000182389	ENSMUSG00000017412	Cacnb4
Cacng4	ENSG00000075461	ENSMUSG00000020723	Cacng4
Cacng8	ENSG00000142408	ENSMUSG00000053395	Cacng8
Cacybp	NA	ENSMUSG00000014226	Cacybp
Cadm1	ENSG00000182985	ENSMUSG00000032076	Cadm1
Cadm2	ENSG00000175161	ENSMUSG00000064115	Cadm2
Cadps	NA	ENSMUSG00000054423	Cadps
Cadps2	ENSG00000081803	ENSMUSG00000017978	Cadps2
Calcrl	ENSG00000064989	ENSMUSG00000059588	Calcrl
Cald1	ENSG00000122786	ENSMUSG00000029761	Cald1
Calm1	ENSG00000198668	ENSMUSG00000001175	Calm1
Calm2	ENSG00000143933	ENSMUSG00000036438	Calm2
Caln1	ENSG00000183166	ENSMUSG00000060371	Caln1
Calr	ENSG00000179218	ENSMUSG00000003814	Calr
Calu	ENSG00000128595	ENSMUSG00000029767	Calu
Camk1d	ENSG00000183049	ENSMUSG00000039145	Camk1d
Camk2d	NA	ENSMUSG00000053819	Camk2d
Camk4	ENSG00000152495	ENSMUSG00000038128	Camk4
Camkmt	ENSG00000143919	ENSMUSG00000071037	Camkmt
Cand1	ENSG00000111530	ENSMUSG00000020114	Cand1
Canx	ENSG00000127022	ENSMUSG00000020368	Canx
Cap2	ENSG00000112186	ENSMUSG00000021373	Cap2
Capn6	ENSG00000077274	ENSMUSG00000067276	Capn6
Caprin2	ENSG00000110888	ENSMUSG00000030309	Caprin2
Car10	ENSG00000154975	ENSMUSG00000056158	Car10
Car12	ENSG00000074410	ENSMUSG00000032373	Car12
Car14	ENSG00000118298	ENSMUSG00000038526	Car14
Car2	ENSG00000104267	ENSMUSG00000027562	Car2
Car8	ENSG00000178538	ENSMUSG00000041261	Car8
Casd1	ENSG00000127995	ENSMUSG00000015189	Casd1
Cask	ENSG00000147044	ENSMUSG00000031012	Cask
Casp2	ENSG00000106144	ENSMUSG00000029863	Casp2
Casp8ap2	ENSG00000118412	ENSMUSG00000028282	Casp8ap2
Casz1	NA	ENSMUSG00000028977	Casz1
Catsper2	ENSG00000166762	ENSMUSG00000033486	Catsper2
Cblb	ENSG00000114423	ENSMUSG00000022637	Cblb
Cbx5	ENSG00000094916	ENSMUSG00000009575	Cbx5
Cc2d2a	ENSG00000048342	ENSMUSG00000039765	Cc2d2a
Ccar2	ENSG00000158941	ENSMUSG00000033712	Ccar2
Ccbe1	ENSG00000183287	ENSMUSG00000046318	Ccbe1
Ccdc112	ENSG00000164221	ENSMUSG00000071855	Ccdc112
Ccdc137	ENSG00000185298	ENSMUSG00000049957	Ccdc137
Ccdc138	ENSG00000163006	ENSMUSG00000038010	Ccdc138
Ccdc141	ENSG00000163492	ENSMUSG00000044033	Ccdc141
Ccdc148	ENSG00000153237	ENSMUSG00000036641	Ccdc148
Ccdc163	NA	ENSMUSG00000028689	Ccdc163
Ccdc171	ENSG00000164989	ENSMUSG00000052407	Ccdc171
Ccdc18	ENSG00000122483	ENSMUSG00000056531	Ccdc18
Ccdc191	ENSG00000163617	ENSMUSG00000022701	Ccdc191
Ccdc34	ENSG00000109881	ENSMUSG00000027160	Ccdc34
Ccdc43	ENSG00000180329	ENSMUSG00000020925	Ccdc43
Ccdc59	ENSG00000133773	ENSMUSG00000019897	Ccdc59
Ccdc73	ENSG00000186714	ENSMUSG00000045106	Ccdc73
Ccdc77	ENSG00000120647	ENSMUSG00000030177	Ccdc77
Ccdc80	ENSG00000091986	ENSMUSG00000022665	Ccdc80
Ccdc85a	ENSG00000055813	ENSMUSG00000032878	Ccdc85a
Ccdc88a	ENSG00000115355	ENSMUSG00000032740	Ccdc88a
Ccdc88c	ENSG00000015133	ENSMUSG00000021182	Ccdc88c
Ccna2	ENSG00000145386	ENSMUSG00000027715	Ccna2
Ccnb1	ENSG00000134057	ENSMUSG00000041431	Ccnb1
Ccnd1	ENSG00000110092	ENSMUSG00000070348	Ccnd1
Ccnd2	ENSG00000118971	ENSMUSG00000000184	Ccnd2
Ccne1	ENSG00000105173	ENSMUSG00000002068	Ccne1
Ccne2	ENSG00000175305	ENSMUSG00000028212	Ccne2
Ccnf	ENSG00000162063	ENSMUSG00000072082	Ccnf
Ccng2	ENSG00000138764	ENSMUSG00000029385	Ccng2
Ccnjl	ENSG00000135083	ENSMUSG00000044707	Ccnjl
Ccnl1	ENSG00000163660	ENSMUSG00000027829	Ccnl1
Ccnl2	ENSG00000221978	ENSMUSG00000029068	Ccnl2
Ccnyl1	ENSG00000163249	ENSMUSG00000070871	Ccnyl1
Ccser1	ENSG00000184305	ENSMUSG00000039578	Ccser1
Cct2	ENSG00000166226	ENSMUSG00000034024	Cct2
Cct3	ENSG00000163468	ENSMUSG00000001416	Cct3
Cct4	ENSG00000115484	ENSMUSG00000007739	Cct4
Cct5	ENSG00000150753	ENSMUSG00000022234	Cct5
Cct6a	ENSG00000146731	ENSMUSG00000029447	Cct6a
Cct7	ENSG00000135624	ENSMUSG00000030007	Cct7
Cct8	ENSG00000156261	ENSMUSG00000025613	Cct8
Cd109	ENSG00000156535	ENSMUSG00000046186	Cd109
Cd164	ENSG00000135535	ENSMUSG00000019818	Cd164
Cd24a	ENSG00000272398	ENSMUSG00000047139	Cd24a
Cd302	ENSG00000241399	ENSMUSG00000060703	Cd302
Cd320	ENSG00000167775	ENSMUSG00000002308	Cd320
Cd44	ENSG00000026508	ENSMUSG00000005087	Cd44
Cd46	ENSG00000117335	ENSMUSG00000016493	Cd46
Cd47	ENSG00000196776	ENSMUSG00000055447	Cd47
Cd52	ENSG00000169442	ENSMUSG00000000682	Cd52
Cd63	ENSG00000135404	ENSMUSG00000025351	Cd63
Cd81	ENSG00000110651	ENSMUSG00000037706	Cd81
Cdan1	ENSG00000140326	ENSMUSG00000027284	Cdan1
Cdc14a	ENSG00000079335	ENSMUSG00000033502	Cdc14a
Cdc14b	ENSG00000081377	ENSMUSG00000033102	Cdc14b
Cdc20	ENSG00000117399	ENSMUSG00000006398	Cdc20
Cdc25a	ENSG00000164045	ENSMUSG00000032477	Cdc25a
Cdc25c	ENSG00000158402	ENSMUSG00000044201	Cdc25c
Cdc42ep3	ENSG00000163171	ENSMUSG00000036533	Cdc42ep3
Cdc42se2	ENSG00000158985	ENSMUSG00000052298	Cdc42se2
Cdc45	ENSG00000093009	ENSMUSG00000000028	Cdc45
Cdc6	ENSG00000094804	ENSMUSG00000017499	Cdc6
Cdc7	ENSG00000097046	ENSMUSG00000029283	Cdc7
Cdca2	ENSG00000184661	ENSMUSG00000048922	Cdca2
Cdca3	ENSG00000111665	ENSMUSG00000023505	Cdca3
Cdca4	ENSG00000170779	ENSMUSG00000047832	Cdca4
Cdca7	ENSG00000144354	ENSMUSG00000055612	Cdca7
Cdca7l	ENSG00000164649	ENSMUSG00000021175	Cdca7l
Cdca8	ENSG00000134690	ENSMUSG00000028873	Cdca8
Cdh10	ENSG00000040731	ENSMUSG00000022321	Cdh10
Cdh11	ENSG00000140937	ENSMUSG00000031673	Cdh11
Cdh12	ENSG00000154162	ENSMUSG00000040452	Cdh12
Cdh13	ENSG00000140945	ENSMUSG00000031841	Cdh13
Cdh18	ENSG00000145526	ENSMUSG00000040420	Cdh18
Cdh19	ENSG00000071991	ENSMUSG00000047216	Cdh19
Cdh2	ENSG00000170558	ENSMUSG00000024304	Cdh2
Cdh20	ENSG00000101542	ENSMUSG00000050840	Cdh20
Cdh3	ENSG00000062038	ENSMUSG00000061048	Cdh3
Cdh4	ENSG00000179242	ENSMUSG00000000305	Cdh4
Cdh6	ENSG00000113361	ENSMUSG00000039385	Cdh6
Cdh8	ENSG00000150394	ENSMUSG00000036510	Cdh8
Cdhr1	ENSG00000148600	ENSMUSG00000021803	Cdhr1
Cdk1	ENSG00000170312	ENSMUSG00000019942	Cdk1
Cdk14	ENSG00000058091	ENSMUSG00000028926	Cdk14
Cdk17	ENSG00000059758	ENSMUSG00000020015	Cdk17
Cdk19	ENSG00000155111	ENSMUSG00000038481	Cdk19
Cdk2	ENSG00000123374	ENSMUSG00000025358	Cdk2
Cdk2ap1	ENSG00000111328	ENSMUSG00000029394	Cdk2ap1
Cdk4	ENSG00000135446	ENSMUSG00000006728	Cdk4
Cdk6	ENSG00000105810	ENSMUSG00000040274	Cdk6
Cdk8	ENSG00000132964	ENSMUSG00000029635	Cdk8
Cdk9	ENSG00000136807	ENSMUSG00000009555	Cdk9
Cdkl2	ENSG00000138769	ENSMUSG00000029403	Cdkl2
Cdkl3	ENSG00000006837	ENSMUSG00000020389	Cdkl3
Cdkl5	ENSG00000008086	ENSMUSG00000031292	Cdkl5
Cdkn1c	ENSG00000129757	ENSMUSG00000037664	Cdkn1c
Cdkn3	ENSG00000100526	ENSMUSG00000037628	Cdkn3
Cdo1	ENSG00000129596	ENSMUSG00000033022	Cdo1
Cdon	ENSG00000064309	ENSMUSG00000038119	Cdon
Cdr2	ENSG00000140743	ENSMUSG00000030878	Cdr2
Cdv3	ENSG00000091527	ENSMUSG00000032803	Cdv3
Cdyl2	ENSG00000166446	ENSMUSG00000031758	Cdyl2
Cebpz	ENSG00000115816	ENSMUSG00000024081	Cebpz
Cecr2	ENSG00000099954	ENSMUSG00000071226	Cecr2
Celf2	ENSG00000048740	ENSMUSG00000002107	Celf2
Celf4	ENSG00000101489	ENSMUSG00000024268	Celf4
Celsr1	ENSG00000075275	ENSMUSG00000016028	Celsr1
Cenpa	ENSG00000115163	ENSMUSG00000029177	Cenpa
Cenpc1	ENSG00000145241	ENSMUSG00000029253	Cenpc1
Cenpe	ENSG00000138778	ENSMUSG00000045328	Cenpe
Cenpf	ENSG00000117724	ENSMUSG00000026605	Cenpf
Cenph	ENSG00000153044	ENSMUSG00000045273	Cenph
Cenpj	ENSG00000151849	ENSMUSG00000064128	Cenpj
Cenpk	ENSG00000123219	ENSMUSG00000021714	Cenpk
Cenpp	ENSG00000188312	ENSMUSG00000021391	Cenpp
Cenpq	ENSG00000031691	ENSMUSG00000023919	Cenpq
Cenpv	ENSG00000166582	ENSMUSG00000018509	Cenpv
Cenpw	ENSG00000203760	ENSMUSG00000075266	Cenpw
Cep112	ENSG00000154240	ENSMUSG00000020728	Cep112
Cep126	ENSG00000110318	ENSMUSG00000040729	Cep126
Cep128	ENSG00000100629	ENSMUSG00000061533	Cep128
Cep131	ENSG00000141577	ENSMUSG00000039781	Cep131
Cep162	ENSG00000135315	ENSMUSG00000056919	Cep162
Cep290	ENSG00000198707	ENSMUSG00000019971	Cep290
Cep295	ENSG00000166004	ENSMUSG00000046111	Cep295
Cep41	ENSG00000106477	ENSMUSG00000029790	Cep41
Cep44	ENSG00000164118	ENSMUSG00000038215	Cep44
Cep55	ENSG00000138180	ENSMUSG00000024989	Cep55
Cep57l1	ENSG00000183137	ENSMUSG00000019813	Cep57l1
Cep70	ENSG00000114107	ENSMUSG00000056267	Cep70
Cep72	ENSG00000112877	ENSMUSG00000021572	Cep72
Cep76	ENSG00000101624	ENSMUSG00000073542	Cep76
Cep95	ENSG00000258890	ENSMUSG00000018372	Cep95
Cept1	ENSG00000134255	ENSMUSG00000040774	Cept1
Cers2	ENSG00000143418	ENSMUSG00000015714	Cers2
Cers6	ENSG00000172292	ENSMUSG00000027035	Cers6
Cetn3	ENSG00000153140	ENSMUSG00000021537	Cetn3
Cfap74	ENSG00000142609	ENSMUSG00000078490	Cfap74
Cfap77	ENSG00000188523	ENSMUSG00000079502	Cfap77
Cfap97	ENSG00000164323	ENSMUSG00000031631	Cfap97
Cfl1	ENSG00000172757	ENSMUSG00000056201	Cfl1
Cflar	ENSG00000003402	ENSMUSG00000026031	Cflar
Cgnl1	ENSG00000128849	ENSMUSG00000032232	Cgnl1
Chaf1b	ENSG00000159259	ENSMUSG00000022945	Chaf1b
Champ1	ENSG00000198824	ENSMUSG00000047710	Champ1
Chchd1	ENSG00000172586	ENSMUSG00000063787	Chchd1
Chchd7	ENSG00000170791	ENSMUSG00000042198	Chchd7
Chd2	ENSG00000173575	ENSMUSG00000078671	Chd2
Chd3	ENSG00000170004	ENSMUSG00000018474	Chd3
Chd7	ENSG00000171316	ENSMUSG00000041235	Chd7
Chek1	ENSG00000149554	ENSMUSG00000032113	Chek1
Chic1	ENSG00000204116	ENSMUSG00000031327	Chic1
Chl1	ENSG00000134121	ENSMUSG00000030077	Chl1
Chmp7	ENSG00000147457	ENSMUSG00000034190	Chmp7
Chn1	ENSG00000128656	ENSMUSG00000056486	Chn1
Chn2	ENSG00000106069	ENSMUSG00000004633	Chn2
Chpt1	ENSG00000111666	ENSMUSG00000060002	Chpt1
Chrac1	ENSG00000104472	ENSMUSG00000068391	Chrac1
Chrdl1	ENSG00000101938	ENSMUSG00000031283	Chrdl1
Chrm2	ENSG00000181072	ENSMUSG00000045613	Chrm2
Chrm3	ENSG00000133019	ENSMUSG00000046159	Chrm3
Chrna7	ENSG00000166664	ENSMUSG00000030525	Chrna7
Chst11	ENSG00000171310	ENSMUSG00000034612	Chst11
Chst8	ENSG00000124302	ENSMUSG00000060402	Chst8
Chst9	ENSG00000154080	ENSMUSG00000047161	Chst9
Chsy3	ENSG00000198108	ENSMUSG00000058152	Chsy3
Ciapin1	ENSG00000005194	ENSMUSG00000031781	Ciapin1
Cisd1	ENSG00000122873	ENSMUSG00000037710	Cisd1
Cit	ENSG00000122966	ENSMUSG00000029516	Cit
Ckap2	ENSG00000136108	ENSMUSG00000037725	Ckap2
Ckap2l	ENSG00000169607	ENSMUSG00000048327	Ckap2l
Ckap5	ENSG00000175216	ENSMUSG00000040549	Ckap5
Cks1b	ENSG00000173207	ENSMUSG00000028044	Cks1b
Cks2	ENSG00000123975	ENSMUSG00000062248	Cks2
Clca4b	ENSG00000016602	ENSMUSG00000074195	Clca4b
Clcn1	ENSG00000188037	ENSMUSG00000029862	Clcn1
Clcn3	ENSG00000109572	ENSMUSG00000004319	Clcn3
Clcn4	ENSG00000073464	ENSMUSG00000000605	Clcn4
Clcn5	ENSG00000171365	ENSMUSG00000004317	Clcn5
Cldn34c1	ENSG00000234469	ENSMUSG00000079450	Cldn34c1
Clic4	ENSG00000169504	ENSMUSG00000037242	Clic4
Clip4	ENSG00000115295	ENSMUSG00000024059	Clip4
Clk1	ENSG00000013441	ENSMUSG00000026034	Clk1
Clk3	ENSG00000179335	ENSMUSG00000032316	Clk3
Clk4	ENSG00000113240	ENSMUSG00000020385	Clk4
Clmn	ENSG00000165959	ENSMUSG00000021097	Clmn
Clmp	ENSG00000166250	ENSMUSG00000032024	Clmp
Clnk	ENSG00000109684	ENSMUSG00000039315	Clnk
Clptm1l	ENSG00000049656	ENSMUSG00000021610	Clptm1l
Clspn	ENSG00000092853	ENSMUSG00000042489	Clspn
Clstn2	ENSG00000158258	ENSMUSG00000032452	Clstn2
Cluh	ENSG00000132361	ENSMUSG00000020741	Cluh
Clybl	ENSG00000125246	ENSMUSG00000025545	Clybl
Cmip	ENSG00000153815	ENSMUSG00000034390	Cmip
Cmpk1	ENSG00000162368	ENSMUSG00000028719	Cmpk1
Cmss1	ENSG00000184220	ENSMUSG00000022748	Cmss1
Cnbd2	ENSG00000149646	ENSMUSG00000038085	Cnbd2
Cnbp	ENSG00000169714	ENSMUSG00000030057	Cnbp
Cnih1	ENSG00000100528	ENSMUSG00000015759	Cnih1
Cnih4	ENSG00000143771	ENSMUSG00000062169	Cnih4
Cnksr2	ENSG00000149970	ENSMUSG00000025658	Cnksr2
Cnnm2	ENSG00000148842	ENSMUSG00000064105	Cnnm2
Cnot6	ENSG00000113300	ENSMUSG00000020362	Cnot6
Cnot7	ENSG00000198791	ENSMUSG00000031601	Cnot7
Cnot8	ENSG00000155508	ENSMUSG00000020515	Cnot8
Cnppd1	ENSG00000115649	ENSMUSG00000033159	Cnppd1
Cnpy2	ENSG00000257727	ENSMUSG00000025381	Cnpy2
Cnpy3	ENSG00000137161	ENSMUSG00000023973	Cnpy3
Cnr1	ENSG00000118432	ENSMUSG00000044288	Cnr1
Cnrip1	ENSG00000119865	ENSMUSG00000044629	Cnrip1
Cntfr	ENSG00000122756	ENSMUSG00000028444	Cntfr
Cntln	ENSG00000044459	ENSMUSG00000038070	Cntln
Cntn1	ENSG00000018236	ENSMUSG00000055022	Cntn1
Cntn3	ENSG00000113805	ENSMUSG00000030075	Cntn3
Cntn4	ENSG00000144619	ENSMUSG00000064293	Cntn4
Cntn5	ENSG00000149972	ENSMUSG00000039488	Cntn5
Cntn6	ENSG00000134115	ENSMUSG00000030092	Cntn6
Cntnap2	ENSG00000174469	ENSMUSG00000039419	Cntnap2
Cntnap3	ENSG00000106714	ENSMUSG00000033063	Cntnap3
Cntnap4	ENSG00000152910	ENSMUSG00000031772	Cntnap4
Cntnap5b	NA	ENSMUSG00000067028	Cntnap5b
Coa3	ENSG00000183978	ENSMUSG00000017188	Coa3
Cobl	ENSG00000106078	ENSMUSG00000020173	Cobl
Cobll1	ENSG00000082438	ENSMUSG00000034903	Cobll1
Cog4	ENSG00000103051	ENSMUSG00000031753	Cog4
Col11a1	ENSG00000060718	ENSMUSG00000027966	Col11a1
Col12a1	ENSG00000111799	ENSMUSG00000032332	Col12a1
Col13a1	ENSG00000197467	ENSMUSG00000058806	Col13a1
Col14a1	ENSG00000187955	ENSMUSG00000022371	Col14a1
Col16a1	ENSG00000084636	ENSMUSG00000040690	Col16a1
Col18a1	ENSG00000182871	ENSMUSG00000001435	Col18a1
Col19a1	ENSG00000082293	ENSMUSG00000026141	Col19a1
Col1a1	ENSG00000108821	ENSMUSG00000001506	Col1a1
Col1a2	ENSG00000164692	ENSMUSG00000029661	Col1a2
Col23a1	ENSG00000050767	ENSMUSG00000063564	Col23a1
Col24a1	NA	ENSMUSG00000028197	Col24a1
Col25a1	ENSG00000188517	ENSMUSG00000058897	Col25a1
Col26a1	ENSG00000160963	ENSMUSG00000004415	Col26a1
Col27a1	ENSG00000196739	ENSMUSG00000045672	Col27a1
Col2a1	ENSG00000139219	ENSMUSG00000022483	Col2a1
Col3a1	ENSG00000168542	ENSMUSG00000026043	Col3a1
Col4a1	ENSG00000187498	ENSMUSG00000031502	Col4a1
Col4a2	ENSG00000134871	ENSMUSG00000031503	Col4a2
Col4a5	ENSG00000188153	ENSMUSG00000031274	Col4a5
Col4a6	ENSG00000197565	ENSMUSG00000031273	Col4a6
Col5a1	ENSG00000130635	ENSMUSG00000026837	Col5a1
Col5a2	ENSG00000204262	ENSMUSG00000026042	Col5a2
Col6a1	ENSG00000142156	ENSMUSG00000001119	Col6a1
Col6a2	ENSG00000142173	ENSMUSG00000020241	Col6a2
Col6a3	ENSG00000163359	ENSMUSG00000048126	Col6a3
Col8a1	ENSG00000144810	ENSMUSG00000068196	Col8a1
Col8a2	ENSG00000171812	ENSMUSG00000056174	Col8a2
Col9a1	ENSG00000112280	ENSMUSG00000026147	Col9a1
Col9a2	ENSG00000049089	ENSMUSG00000028626	Col9a2
Col9a3	NA	ENSMUSG00000027570	Col9a3
Colec12	ENSG00000158270	ENSMUSG00000036103	Colec12
Colgalt1	ENSG00000130309	ENSMUSG00000034807	Colgalt1
Colgalt2	ENSG00000198756	ENSMUSG00000032649	Colgalt2
Commd3	ENSG00000148444	ENSMUSG00000051154	Commd3
Comt	ENSG00000093010	ENSMUSG00000000326	Comt
Copb2	ENSG00000184432	ENSMUSG00000032458	Copb2
Copg2	ENSG00000158623	ENSMUSG00000025607	Copg2
Coq2	ENSG00000173085	ENSMUSG00000029319	Coq2
Coq5	ENSG00000110871	ENSMUSG00000041733	Coq5
Coq7	ENSG00000167186	ENSMUSG00000030652	Coq7
Corin	ENSG00000145244	ENSMUSG00000005220	Corin
Cox10	ENSG00000006695	ENSMUSG00000042148	Cox10
Cox20	ENSG00000203667	ENSMUSG00000026500	Cox20
Cox5a	ENSG00000178741	ENSMUSG00000000088	Cox5a
Cox5b	ENSG00000135940	ENSMUSG00000061518	Cox5b
Cox6a1	ENSG00000111775	ENSMUSG00000041697	Cox6a1
Cox6b1	ENSG00000126267	ENSMUSG00000036751	Cox6b1
Cox6c	ENSG00000164919	ENSMUSG00000014313	Cox6c
Cox7a2	ENSG00000112695	ENSMUSG00000032330	Cox7a2
Cox7b	ENSG00000131174	ENSMUSG00000031231	Cox7b
Cox7c	ENSG00000127184	ENSMUSG00000017778	Cox7c
Cox8a	ENSG00000176340	ENSMUSG00000035885	Cox8a
Cpa2	ENSG00000158516	ENSMUSG00000071553	Cpa2
Cpa6	ENSG00000165078	ENSMUSG00000042501	Cpa6
Cpe	ENSG00000109472	ENSMUSG00000037852	Cpe
Cpeb2	ENSG00000137449	ENSMUSG00000039782	Cpeb2
Cpeb3	ENSG00000107864	ENSMUSG00000039652	Cpeb3
Cpeb4	ENSG00000113742	ENSMUSG00000020300	Cpeb4
Cped1	ENSG00000106034	ENSMUSG00000062980	Cped1
Cpm	ENSG00000135678	ENSMUSG00000020183	Cpm
Cpne4	ENSG00000196353	ENSMUSG00000032564	Cpne4
Cpne5	ENSG00000124772	ENSMUSG00000024008	Cpne5
Cpne8	ENSG00000139117	ENSMUSG00000052560	Cpne8
Cpox	ENSG00000080819	ENSMUSG00000022742	Cpox
Cpq	ENSG00000104324	ENSMUSG00000039007	Cpq
Cpsf2	ENSG00000165934	ENSMUSG00000041781	Cpsf2
Cpsf6	ENSG00000111605	ENSMUSG00000055531	Cpsf6
Cpsf7	ENSG00000149532	ENSMUSG00000034820	Cpsf7
Crabp1	ENSG00000166426	ENSMUSG00000032291	Crabp1
Crabp2	ENSG00000143320	ENSMUSG00000004885	Crabp2
Cradd	ENSG00000169372	ENSMUSG00000045867	Cradd
Crebrf	ENSG00000164463	ENSMUSG00000048249	Crebrf
Crebzf	ENSG00000137504	ENSMUSG00000051451	Crebzf
Creg1	ENSG00000143162	ENSMUSG00000040713	Creg1
Creld2	ENSG00000184164	ENSMUSG00000023272	Creld2
Crim1	ENSG00000150938	ENSMUSG00000024074	Crim1
Crispld1	ENSG00000121005	ENSMUSG00000025776	Crispld1
Crkl	ENSG00000099942	ENSMUSG00000006134	Crkl
Crlf1	ENSG00000006016	ENSMUSG00000007888	Crlf1
Crls1	ENSG00000088766	ENSMUSG00000027357	Crls1
Crmp1	ENSG00000072832	ENSMUSG00000029121	Crmp1
Crnde	NA	ENSMUSG00000031736	Crnde
Crtap	ENSG00000170275	ENSMUSG00000032431	Crtap
Cryl1	ENSG00000165475	ENSMUSG00000021947	Cryl1
Crym	ENSG00000103316	ENSMUSG00000030905	Crym
Cs	ENSG00000062485	ENSMUSG00000005683	Cs
Csgalnact1	ENSG00000147408	ENSMUSG00000036356	Csgalnact1
Csmd1	ENSG00000183117	ENSMUSG00000060924	Csmd1
Csmd2	ENSG00000121904	ENSMUSG00000028804	Csmd2
Csmd3	ENSG00000164796	ENSMUSG00000022311	Csmd3
Cspg4	ENSG00000173546	ENSMUSG00000032911	Cspg4
Csrnp3	ENSG00000178662	ENSMUSG00000044647	Csrnp3
Csrp2	ENSG00000175183	ENSMUSG00000020186	Csrp2
Cst3	ENSG00000101439	ENSMUSG00000027447	Cst3
Cstb	ENSG00000160213	ENSMUSG00000005054	Cstb
Cstf2	ENSG00000101811	ENSMUSG00000031256	Cstf2
Ctdnep1	ENSG00000175826	ENSMUSG00000018559	Ctdnep1
Ctdspl	ENSG00000144677	ENSMUSG00000047409	Ctdspl
Cthrc1	ENSG00000164932	ENSMUSG00000054196	Cthrc1
Ctnna2	ENSG00000066032	ENSMUSG00000063063	Ctnna2
Ctnna3	ENSG00000183230	ENSMUSG00000060843	Ctnna3
Ctnnal1	ENSG00000119326	ENSMUSG00000038816	Ctnnal1
Ctnnb1	ENSG00000168036	ENSMUSG00000006932	Ctnnb1
Ctnnd2	ENSG00000169862	ENSMUSG00000022240	Ctnnd2
Ctps2	ENSG00000047230	ENSMUSG00000031360	Ctps2
Ctsa	ENSG00000064601	ENSMUSG00000017760	Ctsa
Ctsb	ENSG00000164733	ENSMUSG00000021939	Ctsb
Ctsc	ENSG00000109861	ENSMUSG00000030560	Ctsc
Ctsl	NA	ENSMUSG00000021477	Ctsl
Ctso	ENSG00000256043	ENSMUSG00000028015	Ctso
Cttnbp2	ENSG00000077063	ENSMUSG00000000416	Cttnbp2
Cul4b	ENSG00000158290	ENSMUSG00000031095	Cul4b
Cul5	ENSG00000166266	ENSMUSG00000032030	Cul5
Cx3cr1	ENSG00000168329	ENSMUSG00000052336	Cx3cr1
Cxadr	NA	ENSMUSG00000022865	Cxadr
Cxcl12	ENSG00000107562	ENSMUSG00000061353	Cxcl12
Cxcl14	ENSG00000145824	ENSMUSG00000021508	Cxcl14
Cxxc4	ENSG00000168772	ENSMUSG00000044365	Cxxc4
Cyb5a	ENSG00000166347	ENSMUSG00000024646	Cyb5a
Cyb5r4	ENSG00000065615	ENSMUSG00000032872	Cyb5r4
Cyc1	ENSG00000179091	ENSMUSG00000022551	Cyc1
Cycs	ENSG00000172115	ENSMUSG00000063694	Cycs
Cyfip2	ENSG00000055163	ENSMUSG00000020340	Cyfip2
Cyld	ENSG00000083799	ENSMUSG00000036712	Cyld
Cyp26b1	ENSG00000003137	ENSMUSG00000063415	Cyp26b1
Cyp27a1	ENSG00000135929	ENSMUSG00000026170	Cyp27a1
Cyp51	ENSG00000001630	ENSMUSG00000001467	Cyp51
Cyp7b1	ENSG00000172817	ENSMUSG00000039519	Cyp7b1
Cyyr1	ENSG00000166265	ENSMUSG00000041134	Cyyr1
D030028A08Rik	NA	ENSMUSG00000078700	D030028A08Rik
D030056L22Rik	ENSG00000135045	ENSMUSG00000047044	D030056L22Rik
D030068K23Rik	NA	ENSMUSG00000097393	D030068K23Rik
D16Ertd472e	ENSG00000154642	ENSMUSG00000022864	D16Ertd472e
D3Ertd751e	ENSG00000151470	ENSMUSG00000025766	D3Ertd751e
D430041D05Rik	ENSG00000110427	ENSMUSG00000068373	D430041D05Rik
D6Wsu163e	ENSG00000047621	ENSMUSG00000030347	D6Wsu163e
D8Ertd738e	ENSG00000104979	ENSMUSG00000019362	D8Ertd738e
Daam1	ENSG00000100592	ENSMUSG00000034574	Daam1
Daam2	ENSG00000146122	ENSMUSG00000040260	Daam2
Dab1	ENSG00000173406	ENSMUSG00000028519	Dab1
Dab2	ENSG00000153071	ENSMUSG00000022150	Dab2
Dach1	ENSG00000276644	ENSMUSG00000055639	Dach1
Dach2	ENSG00000126733	ENSMUSG00000025592	Dach2
Dact1	ENSG00000165617	ENSMUSG00000044548	Dact1
Dact3	ENSG00000197380	ENSMUSG00000078794	Dact3
Dad1	ENSG00000129562	ENSMUSG00000022174	Dad1
Dag1	ENSG00000173402	ENSMUSG00000039952	Dag1
Dap	ENSG00000112977	ENSMUSG00000039168	Dap
Dapk1	ENSG00000196730	ENSMUSG00000021559	Dapk1
Dars2	ENSG00000117593	ENSMUSG00000026709	Dars2
